RESIDENCE,State_Resid,County_Resid...3,WORKPLACE,State_Work,County_Work...6,Output,Workers_16p,County_Resid...9,County_Work...10,totalwork_tractsum,share_covered,corr_factor
"06001 | Alameda County, California",6,1,"06001 | Alameda County, California",6,1,Estimate,467980,1,1,381112,0.8143766827642207,1.2279329960746448
"06001 | Alameda County, California",6,1,"06013 | Contra Costa County, California",6,13,Estimate,41235,1,13,33565,0.8139929671395659,1.2285118426932817
"06001 | Alameda County, California",6,1,"06041 | Marin County, California",6,41,Estimate,4615,1,41,3671,0.7954496208017334,1.257150640152547
"06001 | Alameda County, California",6,1,"06055 | Napa County, California",6,55,Estimate,305,1,55,249,0.8163934426229508,1.2248995983935742
"06001 | Alameda County, California",6,1,"06075 | San Francisco County, California",6,75,Estimate,99355,1,75,81789,0.8231996376629259,1.2147721576251085
"06001 | Alameda County, California",6,1,"06081 | San Mateo County, California",6,81,Estimate,37275,1,81,29301,0.7860764587525151,1.272140882563735
"06001 | Alameda County, California",6,1,"06085 | Santa Clara County, California",6,85,Estimate,73555,1,85,61446,0.8353748895384406,1.197067343683885
"06001 | Alameda County, California",6,1,"06095 | Solano County, California",6,95,Estimate,1780,1,95,1367,0.7679775280898876,1.302121433796635
"06001 | Alameda County, California",6,1,"06097 | Sonoma County, California",6,97,Estimate,985,1,97,661,0.6710659898477157,1.4901664145234492
"06013 | Contra Costa County, California",6,13,"06001 | Alameda County, California",6,1,Estimate,101605,13,1,82509,0.8120564932828109,1.23144141851192
"06013 | Contra Costa County, California",6,13,"06013 | Contra Costa County, California",6,13,Estimate,289535,13,13,238312,0.8230852919336177,1.2149409177884454
"06013 | Contra Costa County, California",6,13,"06041 | Marin County, California",6,41,Estimate,8570,13,41,5909,0.6894982497082847,1.4503300050770012
"06013 | Contra Costa County, California",6,13,"06055 | Napa County, California",6,55,Estimate,1670,13,55,1207,0.7227544910179641,1.3835956917978458
"06013 | Contra Costa County, California",6,13,"06075 | San Francisco County, California",6,75,Estimate,61090,13,75,48007,0.7858405631036176,1.2725227570979232
"06013 | Contra Costa County, California",6,13,"06081 | San Mateo County, California",6,81,Estimate,11870,13,81,9413,0.7930075821398483,1.261021990863699
"06013 | Contra Costa County, California",6,13,"06085 | Santa Clara County, California",6,85,Estimate,14020,13,85,11329,0.8080599144079886,1.2375319975284669
"06013 | Contra Costa County, California",6,13,"06095 | Solano County, California",6,95,Estimate,7710,13,95,6219,0.8066147859922179,1.2397491558128317
"06013 | Contra Costa County, California",6,13,"06097 | Sonoma County, California",6,97,Estimate,1115,13,97,772,0.6923766816143497,1.444300518134715
"06041 | Marin County, California",6,41,"06001 | Alameda County, California",6,1,Estimate,4205,41,1,3434,0.8166468489892984,1.224519510774607
"06041 | Marin County, California",6,41,"06013 | Contra Costa County, California",6,13,Estimate,1960,41,13,1613,0.8229591836734694,1.2151270923744575
